,Unnamed: 0,product_ndc,API,searched_API,Dosage_strength,Dosage_form,strength_num,Strength_unit,per_unit,strength_in_mg,unit_in_mg,strength_in_mg_per_1unit,is_tablet
30092,35999,50090-5248,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30093,36000,70518-0324,METRONIDAZOLE,metronidazole,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
30094,36002,50090-5249,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30095,36003,50090-5250,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30096,36004,60760-336,METRONIDAZOLE,metronidazole,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
30098,36006,70882-130,METRONIDAZOLE,metronidazole,250 mg/1,"TABLET, FILM COATED",250.0,mg,1,250.0,1.0,250.0,True
30099,36007,68071-5042,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30100,36008,70882-131,METRONIDAZOLE,metronidazole,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
30101,36009,71335-1609,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30106,36014,71335-1922,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30107,36015,68071-5283,METRONIDAZOLE,metronidazole,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
30108,36017,50090-2512,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30109,36018,61919-363,METRONIDAZOLE,metronidazole,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
30110,36019,64980-235,METRONIDAZOLE,metronidazole,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
30111,36020,64980-236,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30113,36022,43063-719,METRONIDAZOLE,metronidazole,250 mg/1,"TABLET, FILM COATED",250.0,mg,1,250.0,1.0,250.0,True
30115,36024,70934-104,METRONIDAZOLE,metronidazole,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
30116,36025,61919-788,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30117,36026,68788-7955,METRONIDAZOLE,metronidazole,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
30120,36029,71335-0858,METRONIDAZOLE,metronidazole,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
30121,36030,68071-2343,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30122,36031,58118-0527,METRONIDAZOLE,metronidazole,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
30123,36032,43063-738,METRONIDAZOLE,metronidazole,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
30124,36033,68071-5073,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30125,36034,43063-021,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30126,36035,68001-364,METRONIDAZOLE,metronidazole,250 mg/1,"TABLET, FILM COATED",250.0,mg,1,250.0,1.0,250.0,True
30127,36036,68788-7815,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30128,36037,68001-365,METRONIDAZOLE,metronidazole,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
30129,36038,61919-385,METRONIDAZOLE,metronidazole,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
30131,36040,50090-5307,METRONIDAZOLE,metronidazole,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
30133,36042,68788-7557,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30134,36044,70934-801,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30135,36045,68071-1876,METRONIDAZOLE,metronidazole,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
30136,36046,63629-7754,METRONIDAZOLE,metronidazole,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
30138,36048,50111-333,METRONIDAZOLE,metronidazole,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
30139,36049,50111-334,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30140,36050,70934-524,METRONIDAZOLE,metronidazole,250 mg/1,"TABLET, FILM COATED",250.0,mg,1,250.0,1.0,250.0,True
30143,36054,70934-276,METRONIDAZOLE,metronidazole,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
30144,36055,70934-813,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30146,36057,71335-1681,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30147,36058,67296-1283,METRONIDAZOLE,metronidazole,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
30148,36059,63629-1386,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30149,36060,63629-1388,METRONIDAZOLE,metronidazole,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
30151,36062,0025-1821,METRONIDAZOLE,metronidazole,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
30154,36065,63187-511,METRONIDAZOLE,metronidazole,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
30157,36068,55700-909,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30158,36069,54348-740,METRONIDAZOLE,metronidazole,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
30159,36070,69043-004,METRONIDAZOLE,metronidazole,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
30160,36071,54348-745,METRONIDAZOLE,metronidazole,250 mg/1,"TABLET, FILM COATED",250.0,mg,1,250.0,1.0,250.0,True
30161,36072,69043-005,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30162,36073,67296-1747,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30166,36077,68071-2399,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30167,36079,71335-1703,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30170,36082,68071-2409,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30171,36083,63629-7916,METRONIDAZOLE,metronidazole,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
30172,36084,65862-694,METRONIDAZOLE,metronidazole,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
30174,36086,65862-695,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30175,36087,70518-2663,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30177,36089,63629-7940,METRONIDAZOLE,metronidazole,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
30180,36092,72789-195,METRONIDAZOLE,metronidazole,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
30181,36093,67296-1366,METRONIDAZOLE,metronidazole,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
30182,36094,23155-651,METRONIDAZOLE,metronidazole,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
30344,36263,89141-250,MICONAZOLE,miconazole,50 mg/1,TABLET,50.0,mg,1,50.0,1.0,50.0,True
30461,36445,0245-0211,MIDODRINE HYDROCHLORIDE,midodrine,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30462,36446,70700-159,MIDODRINE HYDROCHLORIDE,midodrine,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30463,36447,0615-8382,MIDODRINE HYDROCHLORIDE,midodrine,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30464,36448,0185-0149,MIDODRINE HYDROCHLORIDE,midodrine,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30465,36449,42291-560,MIDODRINE HYDROCHLORIDE,midodrine,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30466,36450,42291-561,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30467,36451,42291-562,MIDODRINE HYDROCHLORIDE,midodrine,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30468,36452,0245-0212,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30469,36453,0615-8383,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30470,36454,0615-8358,MIDODRINE HYDROCHLORIDE,midodrine,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30471,36455,63629-7983,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30474,36458,46708-338,MIDODRINE HYDROCHLORIDE,midodrine,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30475,36459,0245-0213,MIDODRINE HYDROCHLORIDE,midodrine,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30476,36460,0615-8384,MIDODRINE HYDROCHLORIDE,midodrine,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30477,36461,46708-339,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30478,36462,46708-340,MIDODRINE HYDROCHLORIDE,midodrine,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30479,36463,55154-8086,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30480,36464,51407-388,MIDODRINE HYDROCHLORIDE,midodrine,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30481,36465,51407-389,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30482,36466,51407-390,MIDODRINE HYDROCHLORIDE,midodrine,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30483,36467,50268-561,MIDODRINE HYDROCHLORIDE,midodrine,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30484,36468,50268-562,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30485,36469,50268-563,MIDODRINE HYDROCHLORIDE,midodrine,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30487,36471,0904-6817,MIDODRINE HYDROCHLORIDE,midodrine,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30488,36472,0904-6818,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30491,36475,0904-6819,MIDODRINE HYDROCHLORIDE,midodrine,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30492,36476,55154-5623,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30493,36477,70771-1595,MIDODRINE HYDROCHLORIDE,midodrine,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30494,36478,70771-1596,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30495,36479,70771-1597,MIDODRINE HYDROCHLORIDE,midodrine,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30496,36480,63629-2227,MIDODRINE HYDROCHLORIDE,midodrine,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30497,36481,60505-1320,MIDODRINE HYDROCHLORIDE,midodrine,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30498,36482,0185-0043,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30499,36483,55154-5696,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30500,36484,60505-1321,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30501,36485,51079-453,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30502,36486,60505-1325,MIDODRINE HYDROCHLORIDE,midodrine,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30503,36487,59651-246,MIDODRINE HYDROCHLORIDE,midodrine,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30504,36488,59651-247,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30505,36489,59651-248,MIDODRINE HYDROCHLORIDE,midodrine,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30508,36492,70985-005,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30509,36493,70985-006,MIDODRINE HYDROCHLORIDE,midodrine,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30510,36494,70985-007,MIDODRINE HYDROCHLORIDE,midodrine,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30511,36495,52817-323,MIDODRINE HYDROCHLORIDE,midodrine,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30512,36496,52817-324,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30513,36497,52817-325,MIDODRINE HYDROCHLORIDE,midodrine,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30514,36498,0615-8291,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30515,36499,68382-737,MIDODRINE HYDROCHLORIDE,midodrine,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30516,36500,68382-738,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30517,36501,68382-739,MIDODRINE HYDROCHLORIDE,midodrine,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30518,36502,0615-8293,MIDODRINE HYDROCHLORIDE,midodrine,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30519,36503,0378-1901,MIDODRINE HYDROCHLORIDE,midodrine,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30520,36504,71335-1433,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30522,36506,0378-1902,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30523,36507,60687-387,MIDODRINE HYDROCHLORIDE,midodrine,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30524,36508,63629-2346,MIDODRINE HYDROCHLORIDE,midodrine,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30525,36509,0378-1903,MIDODRINE HYDROCHLORIDE,midodrine,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30527,36511,63629-2347,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30528,36512,71335-1705,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30529,36513,63629-2348,MIDODRINE HYDROCHLORIDE,midodrine,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30530,36514,71205-904,MIDODRINE HYDROCHLORIDE,midodrine,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30531,36515,49884-814,MIDODRINE HYDROCHLORIDE,midodrine,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30532,36516,71205-905,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30533,36517,71205-906,MIDODRINE HYDROCHLORIDE,midodrine,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30534,36518,62332-338,MIDODRINE HYDROCHLORIDE,midodrine,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30535,36519,62332-339,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30536,36520,60687-398,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30537,36521,62332-340,MIDODRINE HYDROCHLORIDE,midodrine,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30538,36522,49884-849,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30539,36523,64980-433,MIDODRINE HYDROCHLORIDE,midodrine,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30540,36524,64980-434,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30541,36525,64980-435,MIDODRINE HYDROCHLORIDE,midodrine,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30542,36526,60687-409,MIDODRINE HYDROCHLORIDE,midodrine,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30543,36527,49884-874,MIDODRINE HYDROCHLORIDE,midodrine,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30544,36528,63629-6928,MIDODRINE HYDROCHLORIDE,midodrine,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30545,36529,70700-157,MIDODRINE HYDROCHLORIDE,midodrine,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30546,36530,70700-158,MIDODRINE HYDROCHLORIDE,midodrine,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
30548,36532,71205-935,MIGLITOL,miglitol,25 mg/1,"TABLET, COATED",25.0,mg,1,25.0,1.0,25.0,True
30549,36533,71205-936,MIGLITOL,miglitol,50 mg/1,"TABLET, COATED",50.0,mg,1,50.0,1.0,50.0,True
30550,36534,71205-937,MIGLITOL,miglitol,100 mg/1,"TABLET, COATED",100.0,mg,1,100.0,1.0,100.0,True
30552,36536,76333-125,MIGLITOL,miglitol,25 mg/1,"TABLET, COATED",25.0,mg,1,25.0,1.0,25.0,True
30553,36537,76333-126,MIGLITOL,miglitol,50 mg/1,"TABLET, COATED",50.0,mg,1,50.0,1.0,50.0,True
30554,36538,76333-127,MIGLITOL,miglitol,100 mg/1,"TABLET, COATED",100.0,mg,1,100.0,1.0,100.0,True
30555,36539,69367-303,MIGLITOL,miglitol,25 mg/1,"TABLET, COATED",25.0,mg,1,25.0,1.0,25.0,True
30556,36540,69367-304,MIGLITOL,miglitol,50 mg/1,"TABLET, COATED",50.0,mg,1,50.0,1.0,50.0,True
30557,36541,69367-305,MIGLITOL,miglitol,100 mg/1,"TABLET, COATED",100.0,mg,1,100.0,1.0,100.0,True
30558,36542,57664-684,MIGLITOL,miglitol,25 mg/1,"TABLET, COATED",25.0,mg,1,25.0,1.0,25.0,True
30559,36543,57664-685,MIGLITOL,miglitol,50 mg/1,"TABLET, COATED",50.0,mg,1,50.0,1.0,50.0,True
30560,36544,57664-686,MIGLITOL,miglitol,100 mg/1,"TABLET, COATED",100.0,mg,1,100.0,1.0,100.0,True
30568,36552,0456-1550,MILNACIPRAN HYDROCHLORIDE,milnacipran,50 mg/1,"TABLET, FILM COATED",50.0,mg,1,50.0,1.0,50.0,True
30570,36554,0456-1510,MILNACIPRAN HYDROCHLORIDE,milnacipran,100 mg/1,"TABLET, FILM COATED",100.0,mg,1,100.0,1.0,100.0,True
30572,36556,55154-4626,MILNACIPRAN HYDROCHLORIDE,milnacipran,50 mg/1,"TABLET, FILM COATED",50.0,mg,1,50.0,1.0,50.0,True
30573,36557,0456-1512,MILNACIPRAN HYDROCHLORIDE,milnacipran,12.5 mg/1,"TABLET, FILM COATED",12.5,mg,1,12.5,1.0,12.5,True
30574,36558,0456-1525,MILNACIPRAN HYDROCHLORIDE,milnacipran,25 mg/1,"TABLET, FILM COATED",25.0,mg,1,25.0,1.0,25.0,True
30578,36562,65162-091,MILNACIPRAN HYDROCHLORIDE,milnacipran,12.5 mg/1,TABLET,12.5,mg,1,12.5,1.0,12.5,True
30579,36563,65162-092,MILNACIPRAN HYDROCHLORIDE,milnacipran,25 mg/1,TABLET,25.0,mg,1,25.0,1.0,25.0,True
30580,36564,65162-093,MILNACIPRAN HYDROCHLORIDE,milnacipran,50 mg/1,TABLET,50.0,mg,1,50.0,1.0,50.0,True
30581,36565,65162-094,MILNACIPRAN HYDROCHLORIDE,milnacipran,100 mg/1,TABLET,100.0,mg,1,100.0,1.0,100.0,True
30582,36566,35356-545,MILNACIPRAN HYDROCHLORIDE,milnacipran,50 mg/1,"TABLET, FILM COATED",50.0,mg,1,50.0,1.0,50.0,True
30583,36567,0456-1511,MILNACIPRAN HYDROCHLORIDE,milnacipran,100 mg/1,"TABLET, FILM COATED",100.0,mg,1,100.0,1.0,100.0,True
30584,36568,0456-1513,MILNACIPRAN HYDROCHLORIDE,milnacipran,12.5 mg/1,"TABLET, FILM COATED",12.5,mg,1,12.5,1.0,12.5,True
30585,36569,0456-1526,MILNACIPRAN HYDROCHLORIDE,milnacipran,25 mg/1,"TABLET, FILM COATED",25.0,mg,1,25.0,1.0,25.0,True
30586,36570,0456-1551,MILNACIPRAN HYDROCHLORIDE,milnacipran,50 mg/1,"TABLET, FILM COATED",50.0,mg,1,50.0,1.0,50.0,True
30594,36601,42291-619,MINOXIDIL,minoxidil,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30595,36603,63629-1084,MINOXIDIL,minoxidil,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30596,36604,63629-1085,MINOXIDIL,minoxidil,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30608,36633,42291-618,MINOXIDIL,minoxidil,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30624,36675,68084-204,MINOXIDIL,minoxidil,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30625,36677,68084-205,MINOXIDIL,minoxidil,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30628,36681,0591-5642,MINOXIDIL,minoxidil,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30629,36682,63629-2230,MINOXIDIL,minoxidil,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30630,36684,63629-2231,MINOXIDIL,minoxidil,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30631,36686,63629-2232,MINOXIDIL,minoxidil,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30632,36688,0591-5642,MINOXIDIL,minoxidil,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30633,36689,0591-5643,MINOXIDIL,minoxidil,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30636,36692,0591-5643,MINOXIDIL,minoxidil,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30637,36693,49884-256,MINOXIDIL,minoxidil,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30638,36696,49884-257,MINOXIDIL,minoxidil,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30639,36697,43353-342,MINOXIDIL,minoxidil,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30647,36717,63629-1086,MINOXIDIL,minoxidil,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30651,36726,53489-386,MINOXIDIL,minoxidil,2.5 mg/1,TABLET,2.5,mg,1,2.5,1.0,2.5,True
30652,36727,53489-387,MINOXIDIL,minoxidil,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
30675,36792,68071-4379,MIRTAZAPINE,mirtazapine,15 mg/1,"TABLET, FILM COATED",15.0,mg,1,15.0,1.0,15.0,True
30676,36793,68788-7324,MIRTAZAPINE,mirtazapine,30 mg/1,"TABLET, FILM COATED",30.0,mg,1,30.0,1.0,30.0,True
30677,36794,12860-0030,MIRTAZAPINE,mirtazapine,45 mg/1,"TABLET, FILM COATED",45.0,mg,1,45.0,1.0,45.0,True
30679,36796,65862-022,MIRTAZAPINE,mirtazapine,30 mg/1,"TABLET, ORALLY DISINTEGRATING",30.0,mg,1,30.0,1.0,30.0,True
30680,36797,68788-7251,MIRTAZAPINE,mirtazapine,15 mg/1,"TABLET, FILM COATED",15.0,mg,1,15.0,1.0,15.0,True
30681,36798,65862-023,MIRTAZAPINE,mirtazapine,45 mg/1,"TABLET, ORALLY DISINTEGRATING",45.0,mg,1,45.0,1.0,45.0,True
30682,36799,63187-554,MIRTAZAPINE,mirtazapine,30 mg/1,"TABLET, FILM COATED",30.0,mg,1,30.0,1.0,30.0,True
30683,36800,0052-4364,MIRTAZAPINE,mirtazapine,15 mg/1,"TABLET, FILM COATED",15.0,mg,1,15.0,1.0,15.0,True
30684,36801,71610-115,MIRTAZAPINE,mirtazapine,15 mg/1,"TABLET, FILM COATED",15.0,mg,1,15.0,1.0,15.0,True
30685,36802,0378-3515,MIRTAZAPINE,mirtazapine,15 mg/1,"TABLET, FILM COATED",15.0,mg,1,15.0,1.0,15.0,True
30686,36803,50090-2800,MIRTAZAPINE,mirtazapine,15 mg/1,"TABLET, FILM COATED",15.0,mg,1,15.0,1.0,15.0,True
30687,36804,71335-0964,MIRTAZAPINE,mirtazapine,30 mg/1,"TABLET, FILM COATED",30.0,mg,1,30.0,1.0,30.0,True
30688,36805,71610-121,MIRTAZAPINE,mirtazapine,15 mg/1,"TABLET, FILM COATED",15.0,mg,1,15.0,1.0,15.0,True
30689,36806,65862-031,MIRTAZAPINE,mirtazapine,15 mg/1,"TABLET, FILM COATED",15.0,mg,1,15.0,1.0,15.0,True
30690,36807,65862-032,MIRTAZAPINE,mirtazapine,45 mg/1,"TABLET, FILM COATED",45.0,mg,1,45.0,1.0,45.0,True
30691,36808,71610-369,MIRTAZAPINE,mirtazapine,15 mg/1,"TABLET, FILM COATED",15.0,mg,1,15.0,1.0,15.0,True
